cond.s.m,echo.1.3,cond.p.m,echo.p.3,cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,0.000143552,p,0.000430657,s,3.70629E-05,p,0.000111189
s,0.000100327,p,0.00030098,s,5.91903E-05,p,0.000177571
s,0.000121849,p,0.000365546,s,4.12585E-05,p,0.000123776
s,0.000121263,p,0.000363788,s,5.04454E-05,p,0.000151336
s,0.000106483,p,0.00031945,s,5.15784E-05,p,0.000154735
s,9.61929E-05,p,0.000288579,s,4.69306E-05,p,0.000140792
s,9.6985E-05,p,0.000290955,s,4.15206E-05,p,0.000124562
s,9.83285E-05,p,0.000294986,s,4.02184E-05,p,0.000120655
s,0.000110924,p,0.000332772,s,3.97797E-05,p,0.000119339
s,0.000104264,p,0.000312792,s,4.515E-05,p,0.00013545
s,0.000117574,p,0.000352721,s,5.63762E-05,p,0.000169129
s,0.000132501,p,0.000397502,s,4.47695E-05,p,0.000134308
s,0.000103611,p,0.000310834,s,5.16733E-05,p,0.00015502
s,0.000112472,p,0.000337416,s,4.50582E-05,p,0.000135175
s,0.000103456,p,0.000310367,s,4.61986E-05,p,0.000138596
s,0.000105583,p,0.000316748,s,5.24249E-05,p,0.000157275
s,0.000108772,p,0.000326317,s,4.38132E-05,p,0.000131439
s,0.000107046,p,0.000321139,s,4.49608E-05,p,0.000134882
s,0.000131302,p,0.000393906,s,5.80958E-05,p,0.000174287
s,0.000120591,p,0.000361774,s,4.81024E-05,p,0.000144307
s,0.000131192,p,0.000393575,s,4.67828E-05,p,0.000140348
s,0.000103762,p,0.000311287,s,4.4081E-05,p,0.000132243
s,0.000110941,p,0.000332822,s,5.69471E-05,p,0.000170841
s,0.000123226,p,0.000369678,s,4.36152E-05,p,0.000130846
s,0.000112836,p,0.000338509,s,5.04805E-05,p,0.000151441
s,0.000122145,p,0.000366436,s,3.93285E-05,p,0.000117985
s,0.000111395,p,0.000334185,s,4.69062E-05,p,0.000140719
s,0.0001217,p,0.0003651,s,4.2493E-05,p,0.000127479
s,0.000101434,p,0.000304303,s,3.77636E-05,p,0.000113291
s,0.000133606,p,0.000400819,s,4.60159E-05,p,0.000138048
s,9.74571E-05,p,0.000292371,s,5.01718E-05,p,0.000150515
s,0.000123405,p,0.000370215,s,3.91058E-05,p,0.000117318
s,0.000116773,p,0.000350319,s,3.86983E-05,p,0.000116095
s,9.98467E-05,p,0.00029954,s,4.61109E-05,p,0.000138333
s,9.80518E-05,p,0.000294155,s,4.58563E-05,p,0.000137569
s,0.00010698,p,0.000320939,s,4.4207E-05,p,0.000132621
s,0.000108363,p,0.000325088,s,4.51344E-05,p,0.000135403
s,0.00010394,p,0.000311819,s,5.0569E-05,p,0.000151707
s,0.000106469,p,0.000319408,s,4.03877E-05,p,0.000121163
s,9.6028E-05,p,0.000288084,s,5.09028E-05,p,0.000152708
s,0.000131488,p,0.000394465,s,6.13512E-05,p,0.000184053
s,0.000119505,p,0.000358514,s,5.19981E-05,p,0.000155994
s,8.21085E-05,p,0.000246326,s,4.84257E-05,p,0.000145277
s,0.000112418,p,0.000337255,s,4.93985E-05,p,0.000148195
s,0.000111305,p,0.000333916,s,4.39686E-05,p,0.000131906
s,0.00011559,p,0.000346771,s,3.78383E-05,p,0.000113515
s,0.00010354,p,0.00031062,s,4.78621E-05,p,0.000143586
s,0.000147876,p,0.000443627,s,5.24388E-05,p,0.000157316
s,0.000114815,p,0.000344444,s,4.36777E-05,p,0.000131033
s,0.00014689,p,0.000440669,s,4.47841E-05,p,0.000134352
s,9.2695E-05,p,0.000278085,s,4.82391E-05,p,0.000144717
s,0.00010906,p,0.000327179,s,3.96604E-05,p,0.000118981
s,0.000133599,p,0.000400797,s,4.97102E-05,p,0.000149131
s,0.000102642,p,0.000307927,s,4.55915E-05,p,0.000136775
s,0.000108712,p,0.000326135,s,4.84644E-05,p,0.000145393
s,0.000120619,p,0.000361856,s,4.88592E-05,p,0.000146578
s,0.000106463,p,0.000319389,s,4.64398E-05,p,0.000139319
s,0.000118255,p,0.000354765,s,3.91301E-05,p,0.00011739
s,0.000123594,p,0.000370782,s,3.92217E-05,p,0.000117665
s,0.000107456,p,0.000322368,s,4.90905E-05,p,0.000147272
s,0.000113729,p,0.000341188,s,3.6917E-05,p,0.000110751
s,0.000100003,p,0.000300009,s,4.96498E-05,p,0.00014895
s,0.000115144,p,0.000345432,s,4.26183E-05,p,0.000127855
s,0.000115403,p,0.000346208,s,5.50638E-05,p,0.000165191
s,0.00011404,p,0.000342119,s,5.43119E-05,p,0.000162936
s,0.00010656,p,0.000319679,s,4.86095E-05,p,0.000145829
s,0.000102245,p,0.000306735,s,3.85429E-05,p,0.000115629
s,0.000114884,p,0.000344652,s,4.34853E-05,p,0.000130456
s,0.00010649,p,0.000319469,s,3.04014E-05,p,9.12041E-05
s,0.000103348,p,0.000310043,s,4.46969E-05,p,0.000134091
s,0.000107901,p,0.000323703,s,4.19152E-05,p,0.000125745
s,9.88156E-05,p,0.000296447,s,3.87158E-05,p,0.000116147
s,0.000105018,p,0.000315054,s,5.55983E-05,p,0.000166795
s,8.37645E-05,p,0.000251294,s,3.40548E-05,p,0.000102164
s,0.000109858,p,0.000329573,s,5.41144E-05,p,0.000162343
s,0.00010352,p,0.00031056,s,5.28988E-05,p,0.000158696
s,0.000129847,p,0.00038954,s,5.19944E-05,p,0.000155983
s,0.00010187,p,0.000305609,s,4.64317E-05,p,0.000139295
s,9.14972E-05,p,0.000274492,s,4.02309E-05,p,0.000120693
s,0.000121488,p,0.000364463,s,4.87328E-05,p,0.000146198
s,0.000109042,p,0.000327127,s,6.08678E-05,p,0.000182603
s,9.96401E-05,p,0.00029892,s,4.22692E-05,p,0.000126808
s,8.19585E-05,p,0.000245875,s,5.07904E-05,p,0.000152371
