cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,0.000119832,p,0.000359497
s,0.000110911,p,0.000332734
s,0.000111869,p,0.000335607
s,0.000117584,p,0.000352753
s,0.000125799,p,0.000377396
s,9.30849E-05,p,0.000279255
s,0.000104124,p,0.000312371
s,0.000113354,p,0.000340063
s,9.0749E-05,p,0.000272247
s,0.000107749,p,0.000323246
s,0.000105411,p,0.000316234
s,0.000117622,p,0.000352867
s,0.000103709,p,0.000311126
s,0.000114171,p,0.000342513
s,0.00012092,p,0.000362761
s,9.98722E-05,p,0.000299617
s,0.000142538,p,0.000427614
s,0.000125094,p,0.000375282
s,0.000109223,p,0.00032767
s,0.000112392,p,0.000337176
s,0.000135928,p,0.000407785
s,0.000105896,p,0.000317689
s,0.000119265,p,0.000357796
