cond.s.m,echo.s.m,cond.p.m,echo.p.m
1,0.000122414,p,0.000367241
1,9.37283E-05,p,0.000281185
1,0.000143913,p,0.000431738
1,0.000128587,p,0.00038576
1,0.000121584,p,0.000364752
1,0.000133839,p,0.000401516
1,9.42274E-05,p,0.000282682
1,0.000108058,p,0.000324175
1,0.00011943,p,0.00035829
1,0.000133912,p,0.000401737
1,0.000110852,p,0.000332557
1,0.000127296,p,0.000381889
1,0.00012201,p,0.00036603
1,0.000121367,p,0.0003641
1,0.000123688,p,0.000371064
1,0.000108985,p,0.000326956
1,0.000134617,p,0.000403852
1,0.000115649,p,0.000346948
1,0.000124337,p,0.00037301
1,0.00010855,p,0.000325649
1,0.000160462,p,0.000481386
1,0.000146635,p,0.000439906
1,0.000138462,p,0.000415386
1,0.000145429,p,0.000436286
1,0.000148768,p,0.000446305
1,0.000111774,p,0.000335321
1,0.000112921,p,0.000338763
1,7.61911E-05,p,0.000228573
1,9.28725E-05,p,0.000278618
1,0.000115113,p,0.00034534
1,9.24537E-05,p,0.000277361
1,0.000107283,p,0.00032185
1,0.000103357,p,0.00031007
1,0.00010849,p,0.000325471
1,0.000109527,p,0.000328581
1,8.2691E-05,p,0.000248073
1,0.000114732,p,0.000344195
1,0.00010456,p,0.00031368
1,9.57801E-05,p,0.00028734
1,0.000160991,p,0.000482973
1,0.000125792,p,0.000377375
1,0.000132996,p,0.000398989
1,0.000110587,p,0.00033176
1,0.000133441,p,0.000400322
1,0.000109061,p,0.000327184
1,0.000135959,p,0.000407877
1,0.00010601,p,0.000318031
1,0.000120023,p,0.000360068
1,0.000139365,p,0.000418096
1,0.000135934,p,0.000407803
1,9.45574E-05,p,0.000283672
1,9.86801E-05,p,0.00029604
1,0.000118415,p,0.000355246
1,0.000129655,p,0.000388965
1,0.000111142,p,0.000333427
1,0.000110046,p,0.000330139
1,0.000133273,p,0.00039982
1,9.96579E-05,p,0.000298974
1,0.000104707,p,0.000314121
1,0.000100262,p,0.000300785
1,0.000113854,p,0.000341563
1,8.51018E-05,p,0.000255305
1,0.000122924,p,0.000368773
1,0.000110401,p,0.000331203
1,0.000120123,p,0.000360369
1,0.00011195,p,0.000335849
1,0.000155314,p,0.000465942
1,0.00011481,p,0.00034443
1,9.35532E-05,p,0.00028066
1,0.000148037,p,0.000444112
1,0.000128124,p,0.000384372
