cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,4.5563E-05,p,0.000136689
s,6.20382E-05,p,0.000186114
s,5.55948E-05,p,0.000166784
s,5.18585E-05,p,0.000155575
s,5.51224E-05,p,0.000165367
s,4.59016E-05,p,0.000137705
s,4.55453E-05,p,0.000136636
s,4.7286E-05,p,0.000141858
s,4.59072E-05,p,0.000137722
s,4.94099E-05,p,0.00014823
s,5.12106E-05,p,0.000153632
s,4.99045E-05,p,0.000149714
s,4.8402E-05,p,0.000145206
s,3.65037E-05,p,0.000109511
s,3.60533E-05,p,0.00010816
s,3.88095E-05,p,0.000116429
s,4.34334E-05,p,0.0001303
s,5.58549E-05,p,0.000167565
s,4.6588E-05,p,0.000139764
s,5.3151E-05,p,0.000159453
s,4.70953E-05,p,0.000141286
s,5.30107E-05,p,0.000159032
s,5.10495E-05,p,0.000153149
s,6.37867E-05,p,0.00019136
s,3.78454E-05,p,0.000113536
s,5.20847E-05,p,0.000156254
s,4.88391E-05,p,0.000146517
s,4.80929E-05,p,0.000144279
s,5.42392E-05,p,0.000162718
s,3.80032E-05,p,0.00011401
s,5.31725E-05,p,0.000159518
s,5.07916E-05,p,0.000152375
s,4.0847E-05,p,0.000122541
s,5.33128E-05,p,0.000159938
s,4.57321E-05,p,0.000137196
s,5.28586E-05,p,0.000158576
s,4.59863E-05,p,0.000137959
s,4.13665E-05,p,0.000124099
s,4.9655E-05,p,0.000148965
s,4.0039E-05,p,0.000120117
s,5.06184E-05,p,0.000151855
s,5.21834E-05,p,0.00015655
s,4.56485E-05,p,0.000136945
s,4.73537E-05,p,0.000142061
s,5.27087E-05,p,0.000158126
s,6.31765E-05,p,0.000189529
s,4.10186E-05,p,0.000123056
s,5.49804E-05,p,0.000164941
s,5.97495E-05,p,0.000179249
s,4.35369E-05,p,0.000130611
s,5.69215E-05,p,0.000170764
s,3.70423E-05,p,0.000111127
s,4.23207E-05,p,0.000126962
s,4.96393E-05,p,0.000148918
s,4.34617E-05,p,0.000130385
s,5.67474E-05,p,0.000170242
s,5.45488E-05,p,0.000163646
s,5.24058E-05,p,0.000157217
s,4.70308E-05,p,0.000141092
s,4.98278E-05,p,0.000149483
s,5.05668E-05,p,0.0001517
s,3.78557E-05,p,0.000113567
s,5.5618E-05,p,0.000166854
s,0.00004455,p,0.00013365
s,3.63704E-05,p,0.000109111
s,3.90712E-05,p,0.000117214
s,5.13019E-05,p,0.000153906
s,4.49124E-05,p,0.000134737
s,5.31213E-05,p,0.000159364
s,4.77113E-05,p,0.000143134
s,4.62736E-05,p,0.000138821
s,4.65869E-05,p,0.000139761
s,5.43699E-05,p,0.00016311
s,4.74189E-05,p,0.000142257
s,6.07903E-05,p,0.000182371
s,3.66032E-05,p,0.000109809
s,4.87247E-05,p,0.000146174
s,4.52478E-05,p,0.000135744
s,4.57901E-05,p,0.00013737
s,4.32597E-05,p,0.000129779
s,4.24093E-05,p,0.000127228
s,5.26582E-05,p,0.000157975
s,3.17017E-05,p,9.51052E-05
s,4.58208E-05,p,0.000137463
s,4.8393E-05,p,0.000145179
s,4.24575E-05,p,0.000127372
s,4.69216E-05,p,0.000140765
s,5.01039E-05,p,0.000150312
s,4.51254E-05,p,0.000135376
s,4.16061E-05,p,0.000124818
s,4.39525E-05,p,0.000131858
s,4.31497E-05,p,0.000129449
s,5.50347E-05,p,0.000165104
s,5.07645E-05,p,0.000152293
s,5.16525E-05,p,0.000154957
s,5.63265E-05,p,0.00016898
s,4.16502E-05,p,0.000124951
s,4.1813E-05,p,0.000125439
s,4.61189E-05,p,0.000138357
s,3.66518E-05,p,0.000109955
s,5.47393E-05,p,0.000164218
s,4.61223E-05,p,0.000138367
s,4.27473E-05,p,0.000128242
s,4.03848E-05,p,0.000121154
s,4.39265E-05,p,0.00013178
s,4.94591E-05,p,0.000148377
s,4.89092E-05,p,0.000146728
s,4.55777E-05,p,0.000136733
s,5.47074E-05,p,0.000164122
s,6.11548E-05,p,0.000183464
s,4.75159E-05,p,0.000142548
s,4.60443E-05,p,0.000138133
s,5.15502E-05,p,0.000154651
s,4.0912E-05,p,0.000122736
s,4.61367E-05,p,0.00013841
s,4.70158E-05,p,0.000141047
s,4.96896E-05,p,0.000149069
s,4.33127E-05,p,0.000129938
s,3.84091E-05,p,0.000115227
s,4.14417E-05,p,0.000124325
s,5.50793E-05,p,0.000165238
s,4.92444E-05,p,0.000147733
s,4.86924E-05,p,0.000146077
s,3.87611E-05,p,0.000116283
s,4.5602E-05,p,0.000136806
s,4.79821E-05,p,0.000143946
s,4.64742E-05,p,0.000139423
s,4.81087E-05,p,0.000144326
s,4.12566E-05,p,0.00012377
s,4.49629E-05,p,0.000134889
s,4.95637E-05,p,0.000148691
s,5.55964E-05,p,0.000166789
s,4.32984E-05,p,0.000129895
s,3.82259E-05,p,0.000114678
s,5.07014E-05,p,0.000152104
s,3.13527E-05,p,9.4058E-05
s,5.46699E-05,p,0.00016401
s,4.62541E-05,p,0.000138762
s,3.791E-05,p,0.00011373
s,4.9655E-05,p,0.000148965
s,5.30987E-05,p,0.000159296
s,4.74221E-05,p,0.000142266
s,4.00602E-05,p,0.00012018
s,4.85652E-05,p,0.000145696
s,4.85176E-05,p,0.000145553
s,3.7776E-05,p,0.000113328
s,4.00632E-05,p,0.00012019
s,4.25804E-05,p,0.000127741
s,4.29511E-05,p,0.000128853
s,4.86901E-05,p,0.00014607
s,4.8314E-05,p,0.000144942
s,4.57244E-05,p,0.000137173
s,5.79791E-05,p,0.000173937
s,4.6656E-05,p,0.000139968
s,3.49494E-05,p,0.000104848
s,4.83181E-05,p,0.000144954
s,3.70277E-05,p,0.000111083
s,5.23859E-05,p,0.000157158
s,4.66393E-05,p,0.000139918
s,4.88977E-05,p,0.000146693
