cond.r.t,echo.r.t,cond.r.b,echo.r.b,cond.t.b,echo.t.b,cond.p.b,echo.p.b
r,0.000308053,r,0.000308053,t,0.000295584,p,0.000603637
r,0.000287076,r,0.000287076,t,0.000319516,p,0.000606592
r,0.000264101,r,0.000264101,t,0.000333909,p,0.00059801
r,0.000327845,r,0.000327845,t,0.000267881,p,0.000595726
r,0.000268896,r,0.000268896,t,0.000330768,p,0.000599664
r,0.000278761,r,0.000278761,t,0.00024848,p,0.000527241
r,0.000283356,r,0.000283356,t,0.000287558,p,0.000570914
r,0.000256456,r,0.000256456,t,0.000300949,p,0.000557405
r,0.000261152,r,0.000261152,t,0.000359418,p,0.00062057
r,0.000289968,r,0.000289968,t,0.000270616,p,0.000560584
r,0.000292192,r,0.000292192,t,0.000376699,p,0.000668891
r,0.000304374,r,0.000304374,t,0.000287486,p,0.00059186
r,0.000251917,r,0.000251917,t,0.000257658,p,0.000509575
r,0.000294754,r,0.000294754,t,0.000309187,p,0.000603941
r,0.000297878,r,0.000297878,t,0.000304386,p,0.000602264
r,0.000281462,r,0.000281462,t,0.000283251,p,0.000564713
r,0.000330027,r,0.000330027,t,0.000274025,p,0.000604052
r,0.000299156,r,0.000299156,t,0.000308522,p,0.000607678
r,0.000270603,r,0.000270603,t,0.000329103,p,0.000599706
r,0.000263645,r,0.000263645,t,0.0002874,p,0.000551045
r,0.000283624,r,0.000283624,t,0.000313748,p,0.000597372
r,0.000273273,r,0.000273273,t,0.000255642,p,0.000528915
r,0.000284993,r,0.000284993,t,0.000271989,p,0.000556982
r,0.000287572,r,0.000287572,t,0.000268388,p,0.00055596
r,0.000322178,r,0.000322178,t,0.000301066,p,0.000623244
r,0.000281421,r,0.000281421,t,0.00027855,p,0.000559971
r,0.000317217,r,0.000317217,t,0.000315392,p,0.000632609
r,0.000289952,r,0.000289952,t,0.000291897,p,0.000581849
r,0.000285516,r,0.000285516,t,0.000255387,p,0.000540903
r,0.000266604,r,0.000266604,t,0.000271294,p,0.000537898
r,0.000300623,r,0.000300623,t,0.00028383,p,0.000584453
r,0.00031037,r,0.00031037,t,0.000267308,p,0.000577678
r,0.000314547,r,0.000314547,t,0.000260002,p,0.000574549
r,0.000331522,r,0.000331522,t,0.000269314,p,0.000600836
r,0.00032535,r,0.00032535,t,0.000318136,p,0.000643486
r,0.000305133,r,0.000305133,t,0.000311752,p,0.000616885
r,0.000298801,r,0.000298801,t,0.000295121,p,0.000593922
r,0.00029877,r,0.00029877,t,0.000308658,p,0.000607428
r,0.000289431,r,0.000289431,t,0.000283517,p,0.000572948
r,0.000267932,r,0.000267932,t,0.000277777,p,0.000545709
r,0.000295964,r,0.000295964,t,0.0003049,p,0.000600864
r,0.000298433,r,0.000298433,t,0.000290568,p,0.000589001
r,0.00030737,r,0.00030737,t,0.000286259,p,0.000593629
r,0.000301547,r,0.000301547,t,0.000288938,p,0.000590485
r,0.000291405,r,0.000291405,t,0.000348438,p,0.000639843
r,0.00022863,r,0.00022863,t,0.000292873,p,0.000521503
r,0.000286361,r,0.000286361,t,0.00026114,p,0.000547501
r,0.000274891,r,0.000274891,t,0.000227988,p,0.000502879
r,0.000335664,r,0.000335664,t,0.000333642,p,0.000669306
r,0.000277111,r,0.000277111,t,0.000276146,p,0.000553257
r,0.000274846,r,0.000274846,t,0.000277729,p,0.000552575
r,0.000274547,r,0.000274547,t,0.000351007,p,0.000625554
r,0.000248925,r,0.000248925,t,0.000321418,p,0.000570343
r,0.000284809,r,0.000284809,t,0.000319146,p,0.000603955
r,0.000283348,r,0.000283348,t,0.000333961,p,0.000617309
r,0.000295642,r,0.000295642,t,0.000296723,p,0.000592365
r,0.000300812,r,0.000300812,t,0.000265977,p,0.000566789
r,0.000269013,r,0.000269013,t,0.000307449,p,0.000576462
r,0.000312033,r,0.000312033,t,0.000266761,p,0.000578794
r,0.000264538,r,0.000264538,t,0.000279275,p,0.000543813
r,0.000256214,r,0.000256214,t,0.000265023,p,0.000521237
r,0.000291956,r,0.000291956,t,0.000293992,p,0.000585948
r,0.000294239,r,0.000294239,t,0.000272783,p,0.000567022
r,0.000327755,r,0.000327755,t,0.000278195,p,0.00060595
r,0.000318973,r,0.000318973,t,0.000355837,p,0.00067481
r,0.00030229,r,0.00030229,t,0.00033046,p,0.00063275
r,0.000314586,r,0.000314586,t,0.000264172,p,0.000578758
r,0.000334169,r,0.000334169,t,0.00029009,p,0.000624259
r,0.000311197,r,0.000311197,t,0.000229717,p,0.000540914
r,0.000283385,r,0.000283385,t,0.000320878,p,0.000604263
r,0.0002861,r,0.0002861,t,0.00028561,p,0.00057171
r,0.000310864,r,0.000310864,t,0.000307567,p,0.000618431
r,0.000260501,r,0.000260501,t,0.000317809,p,0.00057831
r,0.000268621,r,0.000268621,t,0.000264962,p,0.000533583
r,0.000303701,r,0.000303701,t,0.000330228,p,0.000633929
r,0.000247997,r,0.000247997,t,0.000268086,p,0.000516083
r,0.000276937,r,0.000276937,t,0.000289988,p,0.000566925
r,0.000281523,r,0.000281523,t,0.000328392,p,0.000609915
r,0.000258347,r,0.000258347,t,0.0003008,p,0.000559147
r,0.00028757,r,0.00028757,t,0.000248965,p,0.000536535
r,0.000277247,r,0.000277247,t,0.000293244,p,0.000570491
r,0.000250381,r,0.000250381,t,0.000269054,p,0.000519435
r,0.000314258,r,0.000314258,t,0.000270983,p,0.000585241
r,0.000283551,r,0.000283551,t,0.000288568,p,0.000572119
r,0.000294347,r,0.000294347,t,0.000252123,p,0.00054647
r,0.000296005,r,0.000296005,t,0.000264731,p,0.000560736
r,0.000265884,r,0.000265884,t,0.000234078,p,0.000499962
r,0.000288178,r,0.000288178,t,0.00029004,p,0.000578218
r,0.000312975,r,0.000312975,t,0.000246471,p,0.000559446
r,0.000302146,r,0.000302146,t,0.000332562,p,0.000634708
r,0.000246973,r,0.000246973,t,0.000275668,p,0.000522641
r,0.000301019,r,0.000301019,t,0.000294358,p,0.000595377
r,0.000264279,r,0.000264279,t,0.000355517,p,0.000619796
r,0.000280171,r,0.000280171,t,0.000274465,p,0.000554636
r,0.000353973,r,0.000353973,t,0.000327273,p,0.000681246
r,0.000270305,r,0.000270305,t,0.000364439,p,0.000634744
r,0.000278656,r,0.000278656,t,0.000281032,p,0.000559688
r,0.000288411,r,0.000288411,t,0.000271758,p,0.000560169
r,0.000262394,r,0.000262394,t,0.000245101,p,0.000507495
r,0.000315437,r,0.000315437,t,0.000334886,p,0.000650323
r,0.000270906,r,0.000270906,t,0.000278303,p,0.000549209
r,0.000302418,r,0.000302418,t,0.000288716,p,0.000591134
r,0.000310237,r,0.000310237,t,0.000252731,p,0.000562968
r,0.000330796,r,0.000330796,t,0.000271389,p,0.000602185
r,0.000267335,r,0.000267335,t,0.000312642,p,0.000579977
r,0.000266895,r,0.000266895,t,0.000286675,p,0.00055357
r,0.000292775,r,0.000292775,t,0.000266117,p,0.000558892
r,0.000250973,r,0.000250973,t,0.000281425,p,0.000532398
r,0.000374255,r,0.000374255,t,0.000319826,p,0.000694081
r,0.000269417,r,0.000269417,t,0.000270529,p,0.000539946
r,0.000322752,r,0.000322752,t,0.000317879,p,0.000640631
r,0.000307344,r,0.000307344,t,0.000318108,p,0.000625452
r,0.000285104,r,0.000285104,t,0.000239162,p,0.000524266
r,0.000269714,r,0.000269714,t,0.000327586,p,0.0005973
r,0.000318088,r,0.000318088,t,0.000288324,p,0.000606412
r,0.000288593,r,0.000288593,t,0.000290752,p,0.000579345
r,0.00027694,r,0.00027694,t,0.000312966,p,0.000589906
r,0.000299423,r,0.000299423,t,0.000244759,p,0.000544182
r,0.000290236,r,0.000290236,t,0.000306809,p,0.000597045
r,0.000265635,r,0.000265635,t,0.000272336,p,0.000537971
r,0.000309487,r,0.000309487,t,0.00030451,p,0.000613997
r,0.000286878,r,0.000286878,t,0.000310914,p,0.000597792
r,0.000252523,r,0.000252523,t,0.000327286,p,0.000579809
r,0.000322761,r,0.000322761,t,0.000268171,p,0.000590932
r,0.00029499,r,0.00029499,t,0.000283503,p,0.000578493
r,0.000260479,r,0.000260479,t,0.000265047,p,0.000525526
r,0.000239453,r,0.000239453,t,0.000302125,p,0.000541578
r,0.000242583,r,0.000242583,t,0.000273628,p,0.000516211
r,0.000308342,r,0.000308342,t,0.000293761,p,0.000602103
