unstudied,tone,rhythm,both
-1.47E-06,0.000729448,6.12E-05,0.000753365
-2.92E-07,0.00089321,7.24E-05,0.000843001
-8.78E-07,0.000842313,6.36E-05,0.000873369
5.09E-07,0.000845249,4.84E-05,0.000838949
1.09E-06,0.000827216,6.18E-05,0.000936032
7.78E-07,0.000760853,5.82E-05,0.000893259
-2.96E-06,0.000851809,6.20E-05,0.000809813
-1.55E-06,0.000733216,6.25E-05,0.000911262
-9.49E-07,0.00074697,6.89E-05,0.000847587
2.83E-06,0.000744702,5.64E-05,0.000919725
8.85E-07,0.000823923,7.91E-05,0.0008431
3.50E-07,0.00084991,6.92E-05,0.000819762
2.38E-07,0.000811182,7.35E-05,0.00098172
-3.19E-07,0.000715268,6.07E-05,0.000776963
3.22E-07,0.000778026,6.96E-05,0.000935981
2.49E-06,0.000877206,5.60E-05,0.000919615
-1.94E-07,0.000802863,6.85E-05,0.000937213
-2.83E-06,0.000827468,6.44E-05,0.000741945
5.24E-06,0.000674086,5.93E-05,0.000935916
2.70E-06,0.000745454,5.75E-05,0.000808483
-6.91E-07,0.000866452,6.89E-05,0.000993694
-3.19E-06,0.000780109,6.22E-05,0.00092987
3.56E-07,0.000815776,5.76E-05,0.00097625
1.10E-06,0.000789834,7.09E-05,0.000910729
7.37E-07,0.000746631,5.63E-05,0.000815236
-9.51E-08,0.000779924,5.37E-05,0.000758247
1.29E-06,0.000813011,7.05E-05,0.00080306
3.39E-07,0.000676097,4.57E-05,0.000800335
9.20E-07,0.00081084,6.79E-05,0.000810868
1.62E-07,0.000819992,7.06E-05,0.000882568
-3.60E-07,0.000956361,6.38E-05,0.000912163
2.12E-06,0.00081542,6.90E-05,0.000819249
1.83E-06,0.000809569,6.73E-05,0.000908355
1.86E-06,0.000786435,7.61E-05,0.000841183
-1.61E-06,0.000848897,6.33E-05,0.000805124
4.39E-07,0.000921363,5.29E-05,0.000754933
-5.30E-07,0.000837681,7.04E-05,0.000798657
-9.02E-07,0.000794758,6.08E-05,0.000859086
-8.63E-08,0.000745819,7.52E-05,0.000883402
-7.77E-07,0.000774322,5.89E-05,0.000862755
2.17E-06,0.00085453,7.49E-05,0.000851124
-6.77E-08,0.000741033,5.89E-05,0.000828992
4.41E-07,0.000780961,4.93E-05,0.000853028
2.39E-06,0.000793275,7.80E-05,0.00077282
-1.17E-06,0.000755713,6.06E-05,0.000992613
-1.53E-06,0.00074294,5.69E-05,0.000814222
1.31E-06,0.000790335,6.23E-05,0.000713257
7.59E-08,0.000789108,6.95E-05,0.00078951
-8.97E-07,0.000776043,5.04E-05,0.000805226
-1.14E-06,0.000890962,5.78E-05,0.000954005
2.64E-07,0.000748649,6.93E-05,0.000825212
7.60E-07,0.000750398,6.37E-05,0.00095536
-2.29E-06,0.000784787,6.95E-05,0.000799259
1.23E-06,0.000689394,5.68E-05,0.000875698
1.07E-07,0.000799407,5.74E-05,0.000980199
1.11E-06,0.000793745,6.14E-05,0.000987866
-1.27E-06,0.000794391,4.73E-05,0.000925882
-1.99E-06,0.000719431,4.87E-05,0.000865429
3.55E-07,0.00083991,7.58E-05,0.000875496
-7.70E-07,0.000785136,7.24E-05,0.000826444
1.73E-07,0.000678264,6.44E-05,0.000835235
7.76E-08,0.000681493,6.92E-05,0.000859179
-1.92E-06,0.000974261,4.80E-05,0.000813101
4.40E-07,0.000785261,6.75E-05,0.000810121
-1.24E-06,0.000822414,6.71E-05,0.000903765
-1.15E-06,0.000877515,5.82E-05,0.000930595
-2.57E-06,0.000947029,5.26E-05,0.000833089
1.60E-06,0.000894975,5.77E-05,0.000821361
-7.59E-07,0.000708631,5.63E-05,0.000812712
-1.60E-06,0.000813697,6.07E-05,0.000902576
-8.97E-07,0.000876583,6.26E-05,0.000928423
-7.37E-07,0.000899338,6.03E-05,0.000853915
2.83E-06,0.000754411,5.88E-05,0.000762402
-8.01E-08,0.000766268,5.99E-05,0.000850458
8.22E-07,0.000839026,7.63E-05,0.00079871
1.56E-06,0.00082295,6.01E-05,0.000997959
6.74E-07,0.000806487,5.85E-05,0.000887776
4.92E-07,0.000916846,8.13E-05,0.000872742
-1.34E-06,0.000743794,5.89E-05,0.000933448
-8.84E-07,0.000739701,5.92E-05,0.000868723
-1.73E-07,0.000674694,7.17E-05,0.000871914
2.81E-07,0.000761338,7.72E-05,0.000899717
