unstudied,tone,rhythm,both,,,cond.r.t,echo.r.t,condr.b,echo.r.b,cond.t.b,echo.t.b,,r,t,predicted,both,,cond.p.b,echo.p.b,cond.r.t,echo.r.t,condr.b,echo.r.b,cond.t.b,echo.t.b
-6.86E-09,0.000523297,0.000161795,0.000654425,,,r,0.000161795,r,0.000161795,t,0.000523297,,1.62E-04,5.23E-04,6.85E-04,6.54E-04,,p,6.85E-04,r,0.000161795,r,0.000161795,t,0.000523297
2.92E-06,0.000523208,0.000154578,0.000577777,,,r,0.000154578,r,0.000154578,t,0.000523208,,1.52E-04,5.20E-04,6.72E-04,5.75E-04,,p,6.72E-04,r,0.000154578,r,0.000154578,t,0.000523208
-7.99E-07,0.000606094,0.000154941,0.000587445,,,r,0.000154941,r,0.000154941,t,0.000606094,,1.56E-04,6.07E-04,7.63E-04,5.88E-04,,p,7.63E-04,r,0.000154941,r,0.000154941,t,0.000606094
3.27E-06,0.000518864,0.000166283,0.000668083,,,r,0.000166283,r,0.000166283,t,0.000518864,,1.63E-04,5.16E-04,6.79E-04,6.65E-04,,p,6.79E-04,r,0.000166283,r,0.000166283,t,0.000518864
2.70E-07,0.000539607,0.000155163,0.000766007,,,r,0.000155163,r,0.000155163,t,0.000539607,,1.55E-04,5.39E-04,6.94E-04,7.66E-04,,p,6.94E-04,r,0.000155163,r,0.000155163,t,0.000539607
3.72E-07,0.00047574,0.00013985,0.00058948,,,r,0.00013985,r,0.00013985,t,0.00047574,,1.39E-04,4.75E-04,6.15E-04,5.89E-04,,p,6.15E-04,r,0.00013985,r,0.00013985,t,0.00047574
2.91E-07,0.00040779,0.000139287,0.000624418,,,r,0.000139287,r,0.000139287,t,0.00040779,,1.39E-04,4.07E-04,5.46E-04,6.24E-04,,p,5.46E-04,r,0.000139287,r,0.000139287,t,0.00040779
-8.14E-07,0.0005301,0.000147566,0.000630549,,,r,0.000147566,r,0.000147566,t,0.0005301,,1.48E-04,5.31E-04,6.79E-04,6.31E-04,,p,6.79E-04,r,0.000147566,r,0.000147566,t,0.0005301
-1.16E-08,0.000518603,0.000136502,0.000677925,,,r,0.000136502,r,0.000136502,t,0.000518603,,1.37E-04,5.19E-04,6.55E-04,6.78E-04,,p,6.55E-04,r,0.000136502,r,0.000136502,t,0.000518603
5.27E-07,0.000475408,0.000160981,0.000675566,,,r,0.000160981,r,0.000160981,t,0.000475408,,1.60E-04,4.75E-04,6.35E-04,6.75E-04,,p,6.35E-04,r,0.000160981,r,0.000160981,t,0.000475408
-7.97E-07,0.000515339,0.000157403,0.000643178,,,r,0.000157403,r,0.000157403,t,0.000515339,,1.58E-04,5.16E-04,6.74E-04,6.44E-04,,p,6.74E-04,r,0.000157403,r,0.000157403,t,0.000515339
-3.66E-07,0.000496916,0.000144654,0.000637576,,,r,0.000144654,r,0.000144654,t,0.000496916,,1.45E-04,4.97E-04,6.42E-04,6.38E-04,,p,6.42E-04,r,0.000144654,r,0.000144654,t,0.000496916
5.23E-08,0.000507687,0.000152186,0.000660864,,,r,0.000152186,r,0.000152186,t,0.000507687,,1.52E-04,5.08E-04,6.60E-04,6.61E-04,,p,6.60E-04,r,0.000152186,r,0.000152186,t,0.000507687
-2.82E-06,0.000498351,0.000145913,0.000734352,,,r,0.000145913,r,0.000145913,t,0.000498351,,1.49E-04,5.01E-04,6.50E-04,7.37E-04,,p,6.50E-04,r,0.000145913,r,0.000145913,t,0.000498351
1.14E-06,0.000522355,0.000141213,0.000683047,,,r,0.000141213,r,0.000141213,t,0.000522355,,1.40E-04,5.21E-04,6.61E-04,6.82E-04,,p,6.61E-04,r,0.000141213,r,0.000141213,t,0.000522355
1.15E-06,0.000570423,0.000159057,0.000593448,,,r,0.000159057,r,0.000159057,t,0.000570423,,1.58E-04,5.69E-04,7.27E-04,5.92E-04,,p,7.27E-04,r,0.000159057,r,0.000159057,t,0.000570423
1.18E-06,0.000548045,0.00013074,0.000583757,,,r,0.00013074,r,0.00013074,t,0.000548045,,1.30E-04,5.47E-04,6.76E-04,5.83E-04,,p,6.76E-04,r,0.00013074,r,0.00013074,t,0.000548045
-3.19E-06,0.000521797,0.000169221,0.000702132,,,r,0.000169221,r,0.000169221,t,0.000521797,,1.72E-04,5.25E-04,6.97E-04,7.05E-04,,p,6.97E-04,r,0.000169221,r,0.000169221,t,0.000521797
6.30E-07,0.000386208,0.000158771,0.000636868,,,r,0.000158771,r,0.000158771,t,0.000386208,,1.58E-04,3.86E-04,5.44E-04,6.36E-04,,p,5.44E-04,r,0.000158771,r,0.000158771,t,0.000386208
-9.56E-07,0.000468335,0.000156443,0.000671657,,,r,0.000156443,r,0.000156443,t,0.000468335,,1.57E-04,4.69E-04,6.27E-04,6.73E-04,,p,6.27E-04,r,0.000156443,r,0.000156443,t,0.000468335
-3.70E-07,0.000464661,0.000131731,0.000680293,,,r,0.000131731,r,0.000131731,t,0.000464661,,1.32E-04,4.65E-04,5.97E-04,6.81E-04,,p,5.97E-04,r,0.000131731,r,0.000131731,t,0.000464661
-1.51E-06,0.000550478,0.000146614,0.000737812,,,r,0.000146614,r,0.000146614,t,0.000550478,,1.48E-04,5.52E-04,7.00E-04,7.39E-04,,p,7.00E-04,r,0.000146614,r,0.000146614,t,0.000550478
3.29E-07,0.000501699,0.000177314,0.000656145,,,r,0.000177314,r,0.000177314,t,0.000501699,,1.77E-04,5.01E-04,6.78E-04,6.56E-04,,p,6.78E-04,r,0.000177314,r,0.000177314,t,0.000501699
1.85E-07,0.000510201,0.000160896,0.000659196,,,r,0.000160896,r,0.000160896,t,0.000510201,,1.61E-04,5.10E-04,6.71E-04,6.59E-04,,p,6.71E-04,r,0.000160896,r,0.000160896,t,0.000510201
7.80E-07,0.000587432,0.000165067,0.00064243,,,r,0.000165067,r,0.000165067,t,0.000587432,,1.64E-04,5.87E-04,7.51E-04,6.42E-04,,p,7.51E-04,r,0.000165067,r,0.000165067,t,0.000587432
-7.30E-08,0.000568143,0.000152489,0.000699034,,,r,0.000152489,r,0.000152489,t,0.000568143,,1.53E-04,5.68E-04,7.21E-04,6.99E-04,,p,7.21E-04,r,0.000152489,r,0.000152489,t,0.000568143
8.38E-07,0.00049595,0.000124734,0.000742989,,,r,0.000124734,r,0.000124734,t,0.00049595,,1.24E-04,4.95E-04,6.19E-04,7.42E-04,,p,6.19E-04,r,0.000124734,r,0.000124734,t,0.00049595
