echo,condition
0.000133888,N=1
0.000134445,N=1
0.000100496,N=1
0.000169856,N=1
0.00010666,N=1
0.000144624,N=1
0.000107686,N=1
8.50E-05,N=1
0.00016328,N=1
0.000135471,N=1
0.000136759,N=1
0.000115055,N=1
9.48E-05,N=1
0.00011673,N=1
0.000126179,N=1
0.000107959,N=1
0.000132346,N=1
0.000103719,N=1
9.41E-05,N=1
0.000120605,N=1
0.000105012,N=1
0.000135105,N=1
0.000164413,N=1
0.000112303,N=1
0.000108188,N=1
0.000124335,N=1
0.000124918,N=1
0.000130047,N=1
0.000102758,N=1
8.12E-05,N=1
0.000121241,N=1
8.61E-05,N=1
0.00010994,N=1
0.000144546,N=1
0.00010093,N=1
0.000131505,N=1
0.000109002,N=1
0.00013359,N=1
9.45E-05,N=1
0.000114297,N=1
0.000125286,N=1
0.000134752,N=1
0.000131064,N=1
0.000132459,N=1
0.000123428,N=1
0.000112459,N=1
0.000137496,N=1
9.35E-05,N=1
0.000116822,N=1
0.000109021,N=1
0.000131398,N=1
0.000120536,N=1
0.000102787,N=1
0.000112378,N=1
0.000154832,N=1
0.000138316,N=1
0.000112476,N=1
0.000129306,N=1
0.000108627,N=1
0.000165136,N=1
0.000141692,N=1
0.000113563,N=1
9.30E-05,N=1
0.00010097,N=1
0.000136255,N=1
0.000109475,N=1
0.000135137,N=1
0.000134334,N=1
0.000109477,N=1
0.000115342,N=1
0.000120339,N=1
0.000105954,N=1
0.000151056,N=1
9.63E-05,N=1
0.000131228,N=1
0.00011818,N=1
9.53E-05,N=1
0.000121221,N=1
0.000109466,N=1
0.000120123,N=1
0.000122914,N=1
0.000126753,N=1
9.03E-05,N=1
0.000133794,N=1
9.75E-05,N=1
7.60E-05,N=1
0.000153164,N=1
0.000134861,N=1
0.00015976,N=1
0.00012698,N=1
0.000116958,N=1
0.0001172,N=1
0.000126692,N=1
0.000117913,N=1
0.000100873,N=1
0.000121906,N=1
0.000123919,N=1
0.000124652,N=1
0.000116212,N=1
0.000107727,N=1
0.000100628,N=1
9.86E-05,N=1
0.000153205,N=1
0.000135928,N=1
0.000126558,N=1
0.00012675,N=1
0.000113006,N=1
0.00013886,N=1
0.000124562,N=1
0.00011933,N=1
0.000121694,N=1
9.43E-05,N=1
0.000101401,N=1
0.000116402,N=1
0.000109755,N=1
0.000124346,N=1
0.000122232,N=1
0.000113841,N=1
0.000120648,N=1
0.00011744,N=1
0.000131387,N=1
0.000123273,N=1
0.000136137,N=1
0.000103084,N=1
0.000122244,N=1
0.00012485,N=1
0.000122761,N=1
0.000132249,N=1
0.000133056,N=1
0.00012715,N=1
0.000101446,N=1
0.000145756,N=1
0.000117986,N=1
0.000126913,N=1
0.000110747,N=1
9.68E-05,N=1
9.55E-05,N=1
0.000122201,N=1
0.000112514,N=1
0.000108715,N=1
0.000141774,N=1
8.71E-05,N=1
0.00012744,N=1
0.000104855,N=1
0.000126723,N=1
7.20E-05,N=1
9.65E-05,N=1
9.96E-05,N=1
0.000135153,N=1
0.000133471,N=1
0.000157795,N=1
0.000105942,N=1
8.94E-05,N=1
8.60E-05,N=1
0.000101488,N=1
9.86E-05,N=1
0.000118733,N=1
0.000130068,N=1
0.000122934,N=1
0.000133006,N=1
0.000115351,N=1
0.000141892,N=1
9.88E-05,N=1
0.000122487,N=1
0.000112741,N=1
9.53E-05,N=1
0.000109381,N=1
0.000134016,N=1
8.02E-05,N=1
0.000122412,N=1
0.000110796,N=1
8.80E-05,N=1
0.000105346,N=1
0.000126455,N=1
0.000143295,N=1
9.93E-05,N=1
0.000150507,N=1
0.000144035,N=1
0.000158321,N=1
0.000105451,N=1
8.64E-05,N=1
0.000126006,N=1
0.000136198,N=1
9.96E-05,N=1
0.000112806,N=1
